elegance,0.734,0.1484,0.525,0.1484,0.734
elegant,0.75,0.48,0.525,0.48,0.75
embarrassed,-0.266,-0.0738,-0.375,-0.375,-0.0738
embarrassing,-0.36,-0.084,-0.4,-0.4,-0.084
embarrassment,-0.734,-0.0074,-0.475,-0.734,-0.0074
empty,-0.39,-0.245,-0.2,-0.39,-0.2
encouragement,0.812,0.289,0.45,0.289,0.812
endorsement,0.484,0.669,0.325,0.325,0.669
enjoy,0.688,0.2546,0.55,0.2546,0.688
enjoyed,0.906,0.2604,0.575,0.2604,0.906
enjoying,0.75,0.2322,0.6,0.2322,0.75
entertaining,0.516,0.2194,0.475,0.2194,0.516
excellence,0.782,0.3316,0.775,0.3316,0.782
excited,0.64,0.2304,0.35,0.2304,0.64
exciting,0.734,0.1852,0.55,0.1852,0.734
excuse,-0.046,0.0684,0.075,-0.046,0.075
fabulous,0.906,0.3006,0.6,0.3006,0.906
fail,-0.734,-0.2638,-0.625,-0.734,-0.2638
failed,-0.688,-0.334,-0.575,-0.688,-0.334
fake,-0.454,-0.033,-0.525,-0.525,-0.033
fan,0.438,0.132,0.325,0.132,0.438
fantastic,0.938,0.283,0.65,0.283,0.938
favorite,0.75,0.165,0.5,0.165,0.75
feeling,0.032,-0.188,0.125,-0.188,0.125
fine,0.626,0.114,0.2,0.114,0.626
fondly,0.562,1,0.475,0.475,1
forget,-0.484,0.0904,-0.225,-0.484,0.0904
free,0.562,0.1328,0.575,0.1328,0.575
fresh,0.61,0.2076,0.325,0.2076,0.61
friend,0.484,0.0274,0.55,0.0274,0.55
friends,0.578,0.037,0.525,0.037,0.578
fuck,-0.578,-0.1696,-0.625,-0.625,-0.1696
fucked,-0.656,-0.2752,-0.85,-0.85,-0.2752
fun,0.766,0.128,0.575,0.128,0.766
funny,0.626,0.1838,0.475,0.1838,0.626
gag,-0.546,-0.0548,-0.35,-0.546,-0.0548
giggle,0.61,0.3436,0.45,0.3436,0.61
